lr,train/loss,train/c_l,train/f_l,train/b_l,train/s_l,train/psnr,epoch,created_at,val/loss,val/psnr
0.0005,2.2689669132232666,0.04005866497755051,0.48779961466789246,1.7344036102294922,0.006704932078719139,10.869577407836914,0,2021-01-24 09:29:37.538399,,
0.0005,1.8938817977905273,0.026255903765559196,0.4194414019584656,1.4441403150558472,0.004044211003929377,11.840950012207031,0,2021-01-24 09:29:43.835806,,
0.0005,1.638615608215332,0.014561213552951813,0.4079020023345947,1.2143691778182983,0.0017832409357652068,12.090741157531738,0,2021-01-24 09:29:50.354756,,
0.0005,1.29056715965271,0.011209076270461082,0.20762169361114502,1.0695319175720215,0.0022044458892196417,15.320272445678711,0,2021-01-24 09:29:56.790933,,
0.0005,1.2594071626663208,0.011206142604351044,0.20698010921478271,1.0357885360717773,0.005432387348264456,15.837716102600098,0,2021-01-24 09:30:03.325068,,
0.0005,1.221580147743225,0.010497257113456726,0.15916195511817932,1.0462970733642578,0.005623853299766779,16.2285213470459,0,2021-01-24 09:30:10.025051,,
0.0005,1.1888233423233032,0.008943542838096619,0.19505208730697632,0.9799408912658691,0.0048868171870708466,16.933176040649414,0,2021-01-24 09:30:16.840455,,
0.0005,1.1896551847457886,0.009580317884683609,0.17676576972007751,0.9976153373718262,0.00569378724321723,16.76515769958496,0,2021-01-24 09:30:23.563748,,
0.0005,1.2435797452926636,0.00998450443148613,0.21054938435554504,1.0153257846832275,0.007720098830759525,16.539352416992188,0,2021-01-24 09:30:30.416301,,
0.0005,1.2172073125839233,0.010228289291262627,0.2106315791606903,0.9906225204467773,0.005724899470806122,16.427406311035156,0,2021-01-24 09:30:36.925900,,
0.0005,1.1844884157180786,0.010130127891898155,0.1847776621580124,0.9826619625091553,0.006918710190802813,16.784265518188477,0,2021-01-24 09:30:43.679455,,
0.0005,1.128723382949829,0.008319785818457603,0.16128391027450562,0.9523346424102783,0.006785083096474409,17.441198348999023,0,2021-01-24 09:30:50.358682,,
0.0005,1.192639708518982,0.00928548164665699,0.21876457333564758,0.9569497108459473,0.007639959454536438,17.205961227416992,0,2021-01-24 09:30:57.160850,,
0.0005,1.2032287120819092,0.009945410303771496,0.19307008385658264,0.9915337562561035,0.008679489605128765,16.86387825012207,0,2021-01-24 09:31:04.150852,,
0.0005,1.1557681560516357,0.009555843658745289,0.18004125356674194,0.9578874111175537,0.008283608593046665,17.50511932373047,0,2021-01-24 09:31:11.335755,,
0.0005,1.1352742910385132,0.008877772837877274,0.16026191413402557,0.9585812091827393,0.007553433999419212,17.874103546142578,0,2021-01-24 09:31:18.047815,,
0.0005,1.182821273803711,0.01025350484997034,0.22515004873275757,0.9392132759094238,0.008204438723623753,17.22356605529785,0,2021-01-24 09:31:24.848051,,
0.0005,1.1455048322677612,0.009504472836852074,0.15682420134544373,0.9708108901977539,0.008365288376808167,17.94361114501953,0,2021-01-24 09:31:31.595690,,
0.0005,1.1693601608276367,0.010207124054431915,0.21056124567985535,0.9401545524597168,0.008437315002083778,17.284408569335938,0,2021-01-24 09:31:38.772985,,
0.0005,1.1317243576049805,0.008371327072381973,0.18740175664424896,0.9277679920196533,0.00818320456892252,18.001691818237305,0,2021-01-24 09:31:45.872038,,
0.0005,1.116219162940979,0.008306508883833885,0.1747952699661255,0.9246363639831543,0.008481046184897423,18.18703842163086,0,2021-01-24 09:31:52.946308,,
0.0005,1.107895016670227,0.008085155859589577,0.17341935634613037,0.9185407161712646,0.007849816232919693,18.174278259277344,0,2021-01-24 09:31:59.938372,,
0.0005,1.0872869491577148,0.008299561217427254,0.17840240895748138,0.8919808864593506,0.008604048751294613,18.610458374023438,0,2021-01-24 09:32:07.184318,,
0.0005,1.174936294555664,0.009405727498233318,0.19696210324764252,0.9586467742919922,0.009921682067215443,17.552513122558594,0,2021-01-24 09:32:14.686458,,
0.0005,1.128098726272583,0.008302177302539349,0.18154489994049072,0.9303922653198242,0.007859344594180584,17.840192794799805,0,2021-01-24 09:32:22.172070,,
0.0005,1.1521722078323364,0.008977031335234642,0.23292946815490723,0.9025635719299316,0.00770214619114995,17.744792938232422,0,2021-01-24 09:32:29.670006,,
0.0005,1.1454674005508423,0.009751449339091778,0.18934379518032074,0.9387314319610596,0.007640672381967306,17.530597686767578,0,2021-01-24 09:32:37.165480,,
0.0005,1.0602037906646729,0.007771418895572424,0.136136993765831,0.9088902473449707,0.007405147887766361,18.954374313354492,0,2021-01-24 09:32:44.671492,,
0.0005,1.103721261024475,0.00849076732993126,0.1945507526397705,0.893315315246582,0.0073644439689815044,18.334985733032227,0,2021-01-24 09:32:52.186606,,
0.0005,1.1200157403945923,0.009037189185619354,0.20050394535064697,0.90262770652771,0.007846998050808907,18.111536026000977,0,2021-01-24 09:32:59.545629,,
0.0005,1.0734719038009644,0.007588287349790335,0.166937455534935,0.8904070854187012,0.008539034053683281,18.962411880493164,0,2021-01-24 09:33:06.665675,,
0.0005,1.0853853225708008,0.007820799015462399,0.16478855907917023,0.9057736396789551,0.007002371363341808,18.640750885009766,0,2021-01-24 09:33:13.580662,,
0.0005,1.036730170249939,0.006965866312384605,0.1595010757446289,0.8621668815612793,0.008096395991742611,19.565750122070312,0,2021-01-24 09:33:20.516827,,
0.0005,1.1501964330673218,0.010022248141467571,0.19355037808418274,0.9384770393371582,0.008146706037223339,17.634103775024414,0,2021-01-24 09:33:27.480746,,
0.0005,1.0945470333099365,0.007718811742961407,0.16833609342575073,0.9100091457366943,0.00848295260220766,18.45562744140625,0,2021-01-24 09:33:34.452397,,
0.0005,1.0693892240524292,0.008492975495755672,0.18915614485740662,0.8639388084411621,0.007801292929798365,18.674684524536133,0,2021-01-24 09:33:41.440374,,
0.0005,1.1102027893066406,0.008717576041817665,0.16103002429008484,0.9322023391723633,0.0082528255879879,18.108034133911133,0,2021-01-24 09:33:48.424618,,
0.0005,1.1106863021850586,0.008974257856607437,0.16683296859264374,0.9269206523895264,0.00795835629105568,18.062490463256836,0,2021-01-24 09:33:55.383211,,
